Series Name;ISO3;Country Name;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Non-wood forest products: average value per hectare per year (current US$);DZA;Algeria;7.319768429;7.025318623;6.930688858;6.729356766;6.56679678;6.470646858;6.623609543;6.624992371;6.283667088;5.56662035;5.533155918;5.638865948;5.707776546;5.733673096;5.610065937;5.635532856;5.674593449;5.759207249;5.73782444;5.723453522;5.82764864;6.187688828;6.662931919;7.641757965;8.497803688;9.453389168
Non-wood forest products: average value per hectare per year (current US$);AGO;Angola;5.085309982;5.163412571;5.234627247;5.419989586;5.550932884;5.73398447;6.130494595;6.291496277;6.36597681;6.623950481;6.864741325;7.131335735;7.390570641;7.550675392;7.637155056;7.814471722;8.089170456;8.421675682;8.796704292;9.253323555;9.417401314;9.62753582;9.810827255;9.871952057;10.01944065;10.27905941
Non-wood forest products: average value per hectare per year (current US$);BEN;Benin;5.421188831;5.630289078;5.890162945;6.028774738;6.195427418;6.350676537;6.531812668;6.530160904;6.648963928;6.77819252;6.892349243;7.13693428;7.392740726;7.671793461;7.696397305;7.851609707;8.189273834;8.496528625;8.747189522;9.429920197;10.05609131;10.83241367;11.86499691;12.8834877;13.58107185;13.47475147
Non-wood forest products: average value per hectare per year (current US$);BWA;Botswana;3.726238966;3.839479446;3.946499825;4.05645895;4.205923557;4.510946274;4.61262989;4.68317461;4.807529449;4.963020802;5.208042622;5.430319786;5.628622532;5.792237759;5.937773228;6.057829857;6.213764191;6.374251842;6.544317245;6.712969303;6.813172817;7.119864464;7.420660019;7.597949028;7.896949291;7.885759354
Non-wood forest products: average value per hectare per year (current US$);BFA;Burkina_Faso;6.142170906;6.423919678;6.857563496;7.23666048;7.779570103;8.261105537;8.92358017;9.435038567;10.12382984;10.76943302;11.55888271;12.21316433;12.55729961;12.52565289;12.36440659;12.29101753;12.47348595;12.53833485;12.46172714;12.43404388;12.33918381;11.87428761;11.64345646;11.47418785;11.31408978;10.9819746
Non-wood forest products: average value per hectare per year (current US$);BDI;Burundi;7.490945339;7.781806469;8.154301643;8.472406387;9.036150932;9.603989601;11.24242973;12.65935326;13.68251228;14.54563427;15.02436543;15.5650444;16.03990555;16.37485504;16.23650932;16.12301636;16.20647812;15.99833488;15.5490799;13.76498032;13.05734921;12.67006683;12.89177132;13.34919167;14.13679504;16.08988571
Non-wood forest products: average value per hectare per year (current US$);CMR;Cameroon;6.588707447;6.765785694;6.9345994;7.112974167;7.304893494;7.537069321;7.831603527;8.062765121;8.293793678;8.601709366;8.955853462;9.262080193;9.557891846;9.745897293;9.86914444;10.04195213;10.38491154;10.73421001;11.1401329;11.44145393;11.65150452;11.8825388;12.27643299;12.70196724;12.88926506;13.17760754
Non-wood forest products: average value per hectare per year (current US$);CPV;Cape_Verde;10.67428398;10.87235165;11.04003143;11.20067596;11.43091202;11.73508835;12.02464008;12.21280003;12.3454504;12.54890156;12.93919182;13.30780697;13.61744976;13.78956318;13.78228474;14.07694721;14.49595737;14.78125191;15.11317158;15.44627857;15.6733036;15.79809189;16.09629059;16.44515991;17.62657738;18.23294449
Non-wood forest products: average value per hectare per year (current US$);CAF;Central_African_Republic;2.603670597;2.668367147;2.718843937;2.760690212;2.824911356;2.914322138;3.020549536;3.110745668;3.22031188;3.348408937;3.535041571;3.684487343;3.838338137;3.94679594;4.003798008;4.103956223;4.238405228;4.419360161;4.684009075;4.865015984;4.963649273;5.089962006;5.207859993;5.357647896;5.547421932;6.278903008
Non-wood forest products: average value per hectare per year (current US$);TCD;Chad;3.812392473;3.97107625;4.096935272;4.266444683;4.431471825;4.630637646;4.869879723;5.161340714;5.410971642;5.712739944;6.02933836;6.328807831;6.613862514;6.848371983;6.998978615;7.181893826;7.413243771;7.725524426;8.095477104;8.461119652;8.701643944;8.88947773;9.149349213;9.432118416;9.826170921;10.31721592
Non-wood forest products: average value per hectare per year (current US$);COM;Comoros;9.705050468;9.765830994;9.897040367;10.64721584;11.17321014;12.11107826;12.85370731;14.54383564;14.80662155;15.30485249;15.76284695;16.31541061;16.68652153;16.96627045;16.65337563;16.55674553;16.31930542;16.27322769;16.55356789;16.13229942;16.10609436;15.96844101;16.18524742;16.80808449;17.04262733;17.19117928
Non-wood forest products: average value per hectare per year (current US$);CIV;C̫te_d'Ivoire;7.63582468;7.806127071;7.865524292;7.873796463;7.842530251;7.761160851;7.529933929;7.604450703;7.790743828;8.125730515;8.415987968;8.719207764;8.96546936;9.092563629;9.082983971;9.122982025;9.234065056;9.195199013;9.154396057;9.064797401;8.875619888;8.362650871;8.136845589;8.279164314;7.8276124;6.706415176
Non-wood forest products: average value per hectare per year (current US$);COD;Democratic_Republic_of_the_Congo;4.252497673;4.335520744;4.440408707;4.520438194;4.634846687;4.818816662;5.055037498;5.250553131;5.441615105;5.692533016;6.003141403;6.293200016;6.579558372;6.870741367;7.08501482;7.33860445;7.68452692;7.992450237;8.192090034;8.409863472;8.61349678;8.878881454;9.209753036;9.497408867;9.727763176;9.661787033
Non-wood forest products: average value per hectare per year (current US$);DJI;Djibouti;6.707049847;6.748613834;6.901275635;6.95691061;7.013152122;7.097786903;7.253056526;7.296390057;7.472555161;8.193512917;8.856663704;9.616621017;10.23116398;11.19830322;12.62554741;14.75164604;15.76338577;16.45661163;18.01355743;19.00191307;19.77528763;20.684618;21.51892471;22.30722046;23.16919136;21.18179131
Non-wood forest products: average value per hectare per year (current US$);EGY;Egypt;3.878944874;4.688502312;4.845394135;4.926616669;5.37978363;5.560361385;4.455560207;4.671785355;4.572957993;4.76940012;3.412013054;3.51513648;3.622041941;3.682441473;3.732262135;3.990340948;4.159753323;4.320362568;4.360627174;3.789778233;3.782653809;3.869233608;3.961763382;4.010548115;4.082314968;4.135491371
Non-wood forest products: average value per hectare per year (current US$);GNQ;Equatorial_Guinea;9.180130959;9.476420403;9.746302605;9.923151016;10.18462086;10.57567883;11.20935154;11.51297379;11.74860573;12.04019928;12.23412609;12.31483746;12.22403431;12.05301285;11.63456631;11.53681755;11.59042835;11.82440376;11.92038441;11.95110416;12.03743935;12.23291874;12.39371681;12.13963127;11.89509392;11.82780552
Non-wood forest products: average value per hectare per year (current US$);ERI;Eritrea;3.918358326;4.115368366;4.320489407;4.95279932;5.692248821;6.180850506;6.4710145;6.690728188;6.919509411;7.21071291;7.550579548;7.921567917;8.263143539;8.622706413;8.941040993;9.249171257;9.572827339;9.774223328;10.21100616;10.7469635;11.34541225;11.41138363;11.66833973;12.15282917;12.32096291;12.3322916
Non-wood forest products: average value per hectare per year (current US$);ETH;Ethiopia;4.607599735;4.793159962;4.958796024;5.10818243;5.258696556;5.498147011;5.654960155;5.824472904;6.047201157;6.356803417;6.848225594;7.321073055;7.872592449;8.253587723;8.577925682;8.941303253;9.295913696;9.515226364;9.694402695;9.887829781;10.01621056;9.986617088;10.18058014;10.59704494;10.57369232;10.67548847
Non-wood forest products: average value per hectare per year (current US$);ATF;French_Southern_Territories;0.109483592;0.111488201;0.113410696;0.114687189;0.108135723;0.110585667;0.113077044;0.114839345;0.117105961;0.118401706;0.122114524;0.125882462;0.129284516;0.132784322;0.133635387;0.135241449;0.138051346;0.140633687;0.143096164;0.145771936;0.147230402;0.14870593;0.151528195;0.156358853;0.152037606;0.153869972
